birdName,birdPrice,birdUrl,birdSet
"Super Founder #1",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANS-00000001",cyberbird
"Super Founder #2",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANS-00000002",1f916
"Super Founder #3",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANS-00000003",1f32a-fe0f
"Super Founder #4",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANS-00000004",1f30b
"Super Founder #5",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANS-00000005",1f525
"Super Founder #6",1801,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANS-00000006",1f30a
"Super Founder #7",1801,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANS-00000007",1f9df
"Super Founder #8",1801,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANS-00000008",1f9be
"Super Founder #9",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANS-00000009",1f409
"Founder #15",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000015",1f525
"Founder #17",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000017",1f30b
"Founder #18",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000018",1f48e
"Founder #22",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000022",2600
"Founder #29",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000029",1f916
"Founder #30",2001,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000030",1f916
"Founder #35",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000035",1f916
"Founder #36",550,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000036",goldtrim
"Founder #38",4001,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000038",1f409
"Founder #43",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000043",1f916
"Founder #50",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000050",1f916
"Founder #58",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000058",1f409
"Founder #60",1250,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000060",1f525
"Founder #63",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000063",1f525
"Founder #66",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000066",1f48e
"Founder #69",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000069",1f525
"Founder #91",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANF-00000091",1f409
"Rare #319",341,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANR-00000319",1f32a-fe0f
"Rare #436",5001,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANR-00000436",muninn
"Rare #841",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANR-00000841",kusama
"Limited Edition #1002",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001002",1f98b
"Limited Edition #1030",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001030",1f9df
"Limited Edition #1031",301,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001031",1f98b
"Limited Edition #1038",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001038",1fa78
"Limited Edition #1054",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001054",goldtrim
"Limited Edition #1084",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001084",1f525
"Limited Edition #1086",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001086",1f9df
"Limited Edition #1093",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001093",polkadot
"Limited Edition #1130",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001130",1f916
"Limited Edition #1142",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001142",2694-fe0f
"Limited Edition #1147",310,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001147",1f9df
"Limited Edition #1162",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001162",1f30a
"Limited Edition #1174",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001174",1f4a7
"Limited Edition #1251",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001251",1f30b
"Limited Edition #1285",350,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001285",1f9be
"Limited Edition #1297",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001297",1f48e
"Limited Edition #1311",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001311",1f9be
"Limited Edition #1320",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001320",1f9be
"Limited Edition #1330",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001330",1f30b
"Limited Edition #1337",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001337",1f30b
"Limited Edition #1344",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001344",1f98b
"Limited Edition #1354",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001354",polkadot
"Limited Edition #1437",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001437",goldtrim
"Limited Edition #1455",279,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001455",1f4a7
"Limited Edition #1464",7401,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001464",1f48e
"Limited Edition #1473",250,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001473",1f48e
"Limited Edition #1504",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001504",1f30b
"Limited Edition #1528",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001528",1f4a7
